Country Name,Country Code,Indicator Name,Indicator Code,2001年,2002年,2003年,2004年,2005年,2006年,2007年,2008年,2009年,2010年,2011年,2012年,2013年,2014年,2015年,2016年,2017年
阿鲁巴,ABW,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
阿富汗,AFG,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,33.7,,,,38.3,,,,,54.5,
安哥拉,AGO,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,36.6,,,,,,,,,
阿尔巴尼亚,ALB,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,25.4,,,18.5,,,12.4,,,,14.3,,,,,
安道尔共和国,AND,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
阿拉伯联盟国家,ARB,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
阿拉伯联合酋长国,ARE,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
阿根廷,ARG,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,30.3,25.7
亚美尼亚,ARM,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,53.5,40.1,30.2,26.4,27.6,34.1,35.8,35,32.4,32,30,29.8,29.4,25.7
美属萨摩亚,ASM,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
安提瓜和巴布达,ATG,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
澳大利亚,AUS,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
奥地利,AUT,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
阿塞拜疆,AZE,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,49.6,,,,,,15.8,13.2,10.9,9.1,7.6,6,,,,,
布隆迪,BDI,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,67.1,,,,,,,64.9,64.9,,,
比利时,BEL,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
贝宁,BEN,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,37.5,33,,,35.2,36.2,,,,40.1,,
布基纳法索,BFA,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,51.1,,,,,,46.7,,,,,40.1,,,
孟加拉国,BGD,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,40,,,,,31.5,,,,,,24.3,
保加利亚,BGR,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,16,14,,,18.4,22,21.4,21.8,20.7,22.2,21.2,21,21.8,22,22.9,23.4,22
巴林,BHR,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
巴哈马,BHS,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
波斯尼亚和黑塞哥维那,BIH,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,18.2,,,,17.9,,,,16.9,,
白俄罗斯,BLR,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,28.9,30.5,27.1,17.8,12.7,11.1,7.7,6.1,5.4,,7.3,6.3,5.5,4.8,5.1,5.7,5.9
伯利兹,BLZ,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
百慕大,BMU,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
玻利维亚,BOL,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,63.3,,63.1,59.6,59.9,60.1,57.3,51.3,,45.1,43.3,38.9,39.1,38.6,39.5,36.4
巴西,BRA,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
巴巴多斯,BRB,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
文莱达鲁萨兰国,BRN,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
不丹,BTN,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,23.2,,,,,12,,,,,8.2
博茨瓦纳,BWA,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,30.6,,,,,,,19.3,,,,,,,,
中非共和国,CAF,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,62,,,,,,,,,
加拿大,CAN,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
中歐和波羅的海,CEB,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
瑞士,CHE,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
海峡群岛,CHI,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
智利,CHL,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,35.4,,,29.1,,,25.3,,22.2,,14.4,,11.7,,8.6
中国,CHN,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,17.2,12.7,10.2,8.5,7.2,5.7,4.5,3.1
科特迪瓦,CIV,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,38.4,,,,,,48.9,,,,,,,46.3,,
喀麦隆,CMR,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,40.2,,,,,,39.9,,,,,,,37.5,,,
刚果（金）,COD,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,69.3,,,,,,,,63.9,,,,,
刚果（布）,COG,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,50.7,,,,,,40.9,,,,,,
哥伦比亚,COL,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,42,40.3,37.2,34.1,32.7,30.6,28.5,27.8,28,26.9
科摩罗,COM,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,42.4,,,,
佛得角,CPV,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,58,,,,,,46,,,,,,,,35,,
哥斯达黎加,CRI,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,21.7,20.6,20.7,22.4,21.7,20.5,20
加勒比小国,CSS,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
古巴,CUB,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
库拉索,CUW,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
开曼群岛,CYM,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
塞浦路斯,CYP,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
捷克共和国,CZE,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,10.4,9.9,9.6,9,8.6,9,9.8,9.6,8.6,9.7,,,,
德国,DEU,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
吉布提,DJI,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,21.1
多米尼克,DMA,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
丹麦,DNK,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
多米尼加共和国,DOM,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,32.8,32.8,41.5,49.7,47.8,44.2,43.6,44.2,42.1,41.6,40.4,41,41.2,36.3,32.3,30.5,
阿尔及利亚,DZA,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,5.5,,,,,,
东亚与太平洋地区（不包括高收入）,EAP,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
早人口紅利,EAR,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
东亚与太平洋地区,EAS,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
欧洲与中亚地区（不包括高收入）,ECA,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
欧洲与中亚地区,ECS,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
厄瓜多尔,ECU,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,36.7,35.1,36,32.8,28.6,27.3,25.6,22.5,23.3,22.9,21.5
阿拉伯埃及共和国,EGY,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,19.6,,,,21.6,,25.2,,26.3,,,27.8,,
欧洲货币联盟,EMU,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
厄立特里亚,ERI,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
西班牙,ESP,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
爱沙尼亚,EST,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,21.8,,,,
埃塞俄比亚,ETH,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,38.7,,,,,,29.6,,,,,23.5,,
欧洲联盟,EUU,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
脆弱和受衝突影響的情況下,FCS,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
芬兰,FIN,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
斐济,FJI,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,39.8,,,,,,35.2,,,,,34,,,,
法国,FRA,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
法罗群岛,FRO,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
密克罗尼西亚联邦,FSM,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,29.9,,,,,,,,41.2,,,,
加蓬,GAB,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,32.7,,,,,,,,,,,,33.4
英国,GBR,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
格鲁吉亚,GEO,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,34.3,35.4,36.9,38.8,34.9,34.9,37.3,34.1,30,26.2,23.5,21.6,22,21.9
加纳,GHA,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,31.9,,,,,,,24.2,,,,23.4,
直布罗陀,GIB,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,,,,,,,,
几内亚,GIN,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,55.4,,,,,53,,,,,55.2,,,,,
冈比亚,GMB,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,,,,,,,,,48.1,,,,,48.6,,
几内亚比绍共和国,GNB,贫困人口比例，按国家贫困线衡量的（占人口的百分比）,SI.POV.NAHC,,64.7,,,,,,,,69.3,,,,,,,
